Jahr,Geschlecht_Code,Geschlecht_Bez,Verwaltungsregion_Code,Verwaltungsregion_Bez,Träger_Code,Träger_Bez,Bildungsart_Code,Bildungsart_Bez,Typ_Code,Typ_Bez,Unterrichtssprache_Code,Unterrichtssprache_Bez,Anzahl_Total,Anzahl_Frauen,Anzahl_Männer
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10343000,Berufsmaturität I - gestalterische Richtung,1,Berufsmaturität I,1,deutsch,10,10,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10344000,Berufsmaturität I - gewerbliche Richtung,1,Berufsmaturität I,1,deutsch,7,7,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10346000,Berufsmaturität I - gesundheitliche und soziale Richtung,1,Berufsmaturität I,1,deutsch,23,23,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,16,16,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10353000,Berufsmaturität II - gestalterische Richtung,2,Berufsmaturität II,1,deutsch,25,25,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10354000,Berufsmaturität II - gewerbliche Richtung,2,Berufsmaturität II,1,deutsch,10,10,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10355000,Berufsmaturität II - naturwissenschaftliche Richtung,2,Berufsmaturität II,1,deutsch,19,19,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,1,deutsch,92,92,0
2014,2,weiblich,1,Bern-Mittelland,190,öffentliche Schule,10364000,Passerelle Berufsmaturität - UH,4,Passerelle,1,deutsch,33,33,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,11,11,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,1,1,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,19,19,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,14,14,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,30,30,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,11,11,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,10,10,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,91,91,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,4,4,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,158,158,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,1,deutsch,13,13,0
2014,2,weiblich,1,Bern-Mittelland,191,private Schule,10364000,Passerelle Berufsmaturität - UH,4,Passerelle,1,deutsch,6,6,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10311000,MAR alte Sprachen,3,gymnasiale Maturität,2,französisch,3,3,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,24,24,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,2,französisch,37,37,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,3,deutsch/französisch,13,13,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,2,2,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,2,französisch,2,2,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,3,deutsch/französisch,2,2,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,18,18,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,2,französisch,10,10,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,3,deutsch/französisch,14,14,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,12,12,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,2,französisch,9,9,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,3,deutsch/französisch,5,5,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,28,28,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,2,französisch,10,10,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,12,12,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,2,französisch,11,11,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,9,9,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,2,französisch,2,2,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,10,10,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,8,8,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,2,französisch,12,12,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,5,5,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10354000,Berufsmaturität II - gewerbliche Richtung,2,Berufsmaturität II,1,deutsch,18,18,0
2014,2,weiblich,2,Biel-Seeland,190,öffentliche Schule,10364000,Passerelle Berufsmaturität - UH,4,Passerelle,2,französisch,14,14,0
2014,2,weiblich,2,Biel-Seeland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,6,6,0
2014,2,weiblich,2,Biel-Seeland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,15,15,0
2014,2,weiblich,2,Biel-Seeland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,2,französisch,14,14,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10311000,MAR alte Sprachen,3,gymnasiale Maturität,1,deutsch,2,2,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,46,46,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,12,12,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,40,40,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,14,14,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,37,37,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,33,33,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,26,26,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,3,3,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,7,7,0
2014,2,weiblich,3,Oberland,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,1,1,0
2014,2,weiblich,3,Oberland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,15,15,0
2014,2,weiblich,3,Oberland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,60,60,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,23,23,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,7,7,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,31,31,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,18,18,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,40,40,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,21,21,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,24,24,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,1,1,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,4,4,0
2014,2,weiblich,4,Emmetal-Oberaargau,190,öffentliche Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,1,deutsch,37,37,0
2014,2,weiblich,4,Emmetal-Oberaargau,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,15,15,0
